year	category	text	frequency	sentiment
2004	location	oscar	3	0.5
2004	location	ap	3	0.5
2004	location	taji	3	0.5
2004	location	cary	3	0.5
2004	location	fort bragg	3	0.5
2004	location	body	3	0.5
2004	location	swift boat	2	0.60115
2004	location	rio grande	2	0.5
2004	location	prozac	2	0.5
2004	location	pearland	2	0.5
2004	location	labrador	2	0.5
2004	location	las cruces	2	0.5
2004	location	hindus	2	0.5
2004	location	kiev	2	0.5
2004	location	gary	2	0.5
2004	location	vatican city	2	0.5
2004	location	chicago tribune	2	0.5
2004	location	allawi	2	0.5
2004	location	lafayette	2	0.5
2004	location	white house web	2	0.5
2004	location	palm beach county	2	0.5
2004	location	read	2	0.5
2004	location	iraq baghdad	2	0.5
2004	location	context	2	0.5
2004	location	colmar	2	0.5
2004	location	riyadh	1	0.5
2004	location	harpy	1	0.5
2004	location	bremer	1	0.5
2004	location	silver	1	0.5
2004	location	issue southern	1	0.5
2004	location	ok	1	0.648
2004	location	editor	1	0.5
2004	location	chit	1	0.5
2004	location	baqouba	1	0.5
2004	location	chis matthews	1	0.5
2004	location	creationism	1	0.58895
2004	location	cartagena	1	0.5
2004	location	gold dome	1	0.5
2004	location	judy	1	0.5
2004	location	iraq election	1	0.5
2004	location	medellin	1	0.5
2004	location	chapel	1	0.5
2004	location	exit	1	0.5
2004	location	swift	1	0.60115
2004	location	the garden	1	0.5
2004	location	eden	1	0.5
2004	location	guantanamo bay naval base	1	0.5
2004	location	old confederacy	1	0.5
2004	location	paxil	1	0.5
2004	location	celexa	1	0.5
2004	location	space coast	1	0.5
2004	location	boca raton	1	0.5
2004	location	tuwaitha	1	0.5
2004	location	bellagio	1	0.5
2004	location	aquinas	1	0.5
2004	location	kids	1	0.5
2004	location	plandome	1	0.5
2004	location	ludacris	1	0.5
2004	location	love loofah	1	0.81845
2004	location	timonium	1	0.5
2004	location	atlantic monthly	1	0.5
2004	location	khan	1	0.5
2004	location	inhuman	1	0.5
2004	location	obsidian wings	1	0.5
2004	location	dumbass america	1	0.2213
2004	location	dick	1	0.24469999999999997
2004	location	sir ivor	1	0.5
2004	location	middle east regional editor	1	0.5
2004	location	westchester county	1	0.5
2004	location	columbine high school	1	0.5
2004	location	rosslyn	1	0.5
2004	location	east bloc	1	0.5
2004	location	dirksen senate office	1	0.5
2004	location	wwwcreatorscom	1	0.5
2004	location	beavis	1	0.5
2004	location	butthead	1	0.5
2004	location	casper college	1	0.5
2004	location	mekong delta	1	0.5
2004	location	cam ranh bay	1	0.5
2004	location	unfit	1	0.5
2004	location	inc	1	0.5
2004	miscellaneous	iraqis	332	0.5
2004	miscellaneous	british	300	0.5
2004	miscellaneous	medicare	286	0.5
2004	miscellaneous	iranian	247	0.5
2004	miscellaneous	islamic	214	0.5
2004	miscellaneous	afghan	211	0.5
2004	miscellaneous	union	196	0.5
2004	miscellaneous	internet	161	0.5
2004	miscellaneous	muslim	157	0.5
2004	miscellaneous	english	153	0.5
2004	miscellaneous	european	147	0.5
2004	miscellaneous	christian	146	0.5
2004	miscellaneous	world war ii	130	0.2002999999999996
2004	miscellaneous	israeli	128	0.5
2004	miscellaneous	canadian	126	0.5
2004	miscellaneous	chinese	124	0.5
2004	miscellaneous	western	121	0.5
2004	miscellaneous	jewish	119	0.5
2004	miscellaneous	pakistani	112	0.5
2004	miscellaneous	german	106	0.5
2004	miscellaneous	christians	106	0.5
2004	miscellaneous	iranians	104	0.5
2004	miscellaneous	qaeda	100	0.5
2004	miscellaneous	medicaid	98	0.5
2004	miscellaneous	catholic	94	0.5
2004	miscellaneous	african american	83	0.5
2004	miscellaneous	spanish	80	0.5
2004	miscellaneous	japanese	79	0.5
2004	miscellaneous	dems	73	0.5
2004	miscellaneous	arab	69	0.5
2004	miscellaneous	italian	67	0.5
2004	miscellaneous	army	66	0.5
2004	miscellaneous	fox news sunday	62	0.5
2004	miscellaneous	nazi	62	0.5
2004	miscellaneous	palestinian	60	0.5
2004	miscellaneous	fox	58	0.5
2004	miscellaneous	cold war	55	0.2003000000000002
2004	miscellaneous	asian	54	0.5
2004	miscellaneous	palestinians	53	0.5
2004	miscellaneous	antiamerican	53	0.5
2004	miscellaneous	afghans	53	0.5
2004	miscellaneous	african	52	0.5
2004	miscellaneous	europeans	50	0.5
2004	miscellaneous	sunni	50	0.5
2004	miscellaneous	nation	48	0.5
2004	miscellaneous	africanamerican	48	0.5
2004	miscellaneous	bible	47	0.5
2004	miscellaneous	saudi	47	0.5
2004	miscellaneous	jews	45	0.5
2004	miscellaneous	us senate	45	0.5
2004	miscellaneous	indian	45	0.5
2004	miscellaneous	republican national convention	45	0.5
2004	miscellaneous	russians	43	0.5
2004	miscellaneous	administration	42	0.5
2004	miscellaneous	new yorker	41	0.5
2004	miscellaneous	cia	38	0.5
2004	miscellaneous	soviet	36	0.5
2004	miscellaneous	new world order	36	0.5
2004	miscellaneous	guardian	34	0.5
2004	miscellaneous	gulf war	33	0.20030000000000012
2004	miscellaneous	germans	32	0.5
2004	miscellaneous	australian	29	0.5
2004	miscellaneous	vietnamese	28	0.5
2004	miscellaneous	pakistanis	28	0.5
2004	miscellaneous	navy	28	0.5
2004	miscellaneous	gulf	27	0.5
2004	miscellaneous	kurdish	26	0.5
2004	miscellaneous	mission accomplished	25	0.7202
2004	miscellaneous	lord	24	0.5
2004	miscellaneous	antisemitic	23	0.5
2004	miscellaneous	pentagon	23	0.5
2004	miscellaneous	southern	22	0.5
2004	miscellaneous	orwellian	21	0.5
2004	miscellaneous	watergate	20	0.5
2004	miscellaneous	christ	20	0.5
2004	miscellaneous	election day	19	0.5
2004	miscellaneous	swedish	18	0.5
2004	miscellaneous	minutes	18	0.5
2004	miscellaneous	alqaeda	18	0.5
2004	miscellaneous	world war	18	0.20029999999999995
2004	miscellaneous	oreilly factor	17	0.5
2004	miscellaneous	marine	17	0.5
2004	miscellaneous	usled	17	0.5
2004	miscellaneous	catholic league	16	0.5
2004	miscellaneous	gallup	15	0.5
2004	miscellaneous	roman catholic	15	0.5
2004	miscellaneous	post	15	0.5
2004	miscellaneous	kurds	15	0.5
2004	miscellaneous	bushies	14	0.5
2004	miscellaneous	dutch	14	0.5
2004	miscellaneous	shia	14	0.5
2004	miscellaneous	americanled	14	0.5
2004	miscellaneous	bushcheney	14	0.5
2004	miscellaneous	vatican	14	0.5
2004	miscellaneous	us constitution	13	0.5
2004	miscellaneous	pope	13	0.5
2004	miscellaneous	venezuelan	12	0.5
2004	miscellaneous	hannity	11	0.5
2004	miscellaneous	mideast	10	0.5
2004	miscellaneous	washingtonbased	10	0.5
2004	miscellaneous	whitewater	10	0.5
2004	miscellaneous	polish	10	0.5
2004	miscellaneous	governor	9	0.5
2004	miscellaneous	unitarian	9	0.5
2004	miscellaneous	defense	9	0.5640000000000001
2004	miscellaneous	infantry division	9	0.5
2004	miscellaneous	yanks	9	0.5
2004	miscellaneous	argentine	9	0.5
2004	miscellaneous	alqaida	9	0.5
2004	miscellaneous	meet the press	9	0.5
2004	miscellaneous	korean	9	0.5
2004	miscellaneous	tv	8	0.5
2004	miscellaneous	jew	8	0.5
2004	miscellaneous	republicandominated	8	0.5
2004	miscellaneous	antichrist	8	0.5
2004	miscellaneous	talking points memo	8	0.5
2004	miscellaneous	californiabased	8	0.5
2004	miscellaneous	sudanese	8	0.5
2004	miscellaneous	nra	8	0.5
2004	miscellaneous	rumsfeld	8	0.5
2004	miscellaneous	new yorkers	7	0.5
2004	miscellaneous	thai	7	0.5
2004	miscellaneous	africanamericans	7	0.5
2004	miscellaneous	colombian	7	0.5
2004	miscellaneous	town hall	7	0.5
2004	miscellaneous	antibush	7	0.5
2004	miscellaneous	kennedy	7	0.5
2004	miscellaneous	ny	7	0.5
2004	miscellaneous	ukrainian	6	0.5
